[2026-05-09 03:21:51] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:23:25] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify role=welfare_user | Application 'APP-2' not found
[2026-05-09 03:23:31] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=complete_training role=welfare_user | Application 'APP-2' not found
[2026-05-09 03:24:31] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:24:34] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:24:36] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:24:37] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:24:38] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:24:47] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:24:51] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:35:12] [FAIL] app=APP-2 from=UNKNOWN to=acc_generated action=set_status role=pass_user | Application 'APP-2' not found
[2026-05-09 03:48:41] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:48:46] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=complete_training role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:51:07] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=request_gatepass role=contractor | Application 'APP-2' not found
[2026-05-09 03:53:25] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:53:30] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:53:34] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:53:42] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:53:43] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:53:45] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:53:46] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-09 11:56:15] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify role=welfare_user | Application 'APP-2' not found
